dataset,sample_key,prefix,legal_children,teacher_mass_error
Toys,A8IF4ZBZRY86C:7:B00CI6J5JQ,0 467 895 12540,6,5.960464477539063e-08
Toys,A8IQHTL91HIVG:7:B006CD31RI,0 740 9013,18,0.0
Toys,A8UAYFMQ4A5HA:3:B001AO13TM,0 1041 620,13,0.0
Toys,A90P35KV9UFX4:4:B004P95A3O,0,30,0.0
Toys,A9RSMV1C8Y8FH:5:B000ID2YBW,0 2341 159 4226,3,0.0
Toys,AAD2456J0SZOL:11:B00253T7R2,0,30,0.0
Toys,AAUL61ULBJGCR:2:B00A88FLI0,0 2100 6770,26,0.0
Toys,AD8V3PZKCDZJC:2:B007J3F9V6,0 5364 809,3,0.0
Toys,ADBT2QYXGQCSJ:2:B00AWP7Q5A,0,30,0.0
Toys,AE24ZJRHI2DU8:2:B000FHQJLW,0 1041 3214,14,0.0
Toys,AESP85A047YKK:4:B007DW6DDQ,0 1871 3470,37,0.0
Toys,AG0830H1DBLD:12:B00004U31Z,0 17582 2198,25,5.960464477539063e-08
Toys,AG1ELQC8M7CVP:1:B001P06GX4,0 467,24,0.0
Toys,AG67B39RYPAGM:1:B002C4BAHO,0 740 615,25,0.0
Toys,AGHIUO1B3IF8H:19:B009PLLF9K,0 3203 9052 8980,3,0.0
Toys,AHP5BP2PTZXUG:4:B00007L12U,0 14295 4232,96,5.960464477539063e-08
Toys,AHXMDCU0N15TN:2:B00146G72O,0 9062 4987 15133 9502,2,0.0
Toys,AIP2WTTA8E6K3:6:B00C16YWYQ,0 1041,27,1.1920928955078125e-07
Toys,AJV985MKGCIQ0:8:B009Q3JECW,0 467 895,74,0.0
Toys,AKFLWRYLFGDIO:4:B000ETRF3W,0 2100 671 1088,4,0.0
Toys,ALCXODPDVCNFQ:5:B000FQ9IG6,0 467 895,74,1.1920928955078125e-07
Toys,ALOZGQ09GA3G8:3:B005WYFLNU,0 5364,25,0.0
Toys,ALUZO8SLEA7S4:7:B005KBXVUU,0 3127,21,1.1920928955078125e-07
Toys,ALUZO8SLEA7S4:8:B005VPRD2M,0 3203 2592,10,0.0
Toys,AM3FLDRMZ53YM:3:B00428LJ0Q,0 26190,29,0.0
Toys,AMEZVNCZWNEKU:7:B00BJ8CSM0,0 2100 649 6676,2,0.0
Toys,AMW1OYXWOGZGJ:7:B000YFSZU8,0 19903,23,0.0
Toys,ANYTXWI3WZDCH:4:B0039S7NO6,0 14295 515,10,0.0
Toys,AOV866IF1I9PO:2:B004P98O6Y,0,30,0.0
Toys,API5JLBRT6FIN:17:B004ORV2WK,0,30,0.0
Toys,APRU373UYVK2Y:2:B007EA4UBY,0 2100 1073,31,0.0
Toys,APT8KT26KZZHN:3:B00BH0G9NE,0 2100,31,0.0
Toys,AQL7OP8RXE3SK:1:B001RPWM7Q,0 9062 25226 2766,2,0.0
Toys,AQZH7YTWQPOBE:36:B00CFELV16,0 467 895,74,1.1920928955078125e-07
Toys,AQZH7YTWQPOBE:4:B0041HNSAW,0,30,5.960464477539063e-08
Toys,AR2IRQZ0U121M:1:B006WAJM1A,0 14295,44,0.0
Toys,AR6287X5D32FO:3:B006O6F25W,0 2100 1996 11607 4076,2,0.0
Toys,AR6287X5D32FO:4:B00BSWS650,0 19903,23,0.0
Toys,ARFCORBCTKX1J:5:B006X9KV6U,0 467,24,5.960464477539063e-08
Toys,AT5YCYCBFBXW0:3:B005JAH2CU,0 740,53,1.1920928955078125e-07
Toys,ATDE9JYCPI0L1:3:B00508OLNY,0 387,24,0.0
Toys,ATMQEI1LKR6VB:6:B0083TXXTA,0 2100,31,0.0
Toys,ATTSRFD8TJE6R:7:B008IZH4EO,0 11109 1040,16,0.0
Toys,ATY70MUHFXL6K:6:B00199LDRA,0 11109,27,0.0
Toys,AU43F412YLCAC:1:B000038A89,0,30,0.0
Toys,AUGSWHKRHSHCB:3:B005ZWJDBA,0 17582 1723 3691,7,5.960464477539063e-08
Toys,AUV3OR951650C:31:B00C6PXLMQ,0 14527 5612 7568,4,0.0
Toys,AUV3OR951650C:33:B00CBKXEMI,0 14527 5612 7568,4,0.0
Toys,AUYKXRJOPHWG2:5:B000VNVVK4,0,30,5.960464477539063e-08
Toys,AV0LB83EE35PX:1:B000VYYOF2,0,30,0.0
Toys,AVHN134ADVP4R:18:B006ROJP7M,0 14527,19,0.0
Toys,AVJJ2D4G5I0Z4:6:B00499CVBE,0 3186 10451,9,0.0
Toys,AVXEPHCPSU4KY:3:B008L0HMIY,0 14527,19,5.960464477539063e-08
Toys,AW9BJULSBM5Q:1:B0070A9OUA,0 14351 9760,24,0.0
Toys,AWZDP3WYBUY88:2:B0000BX8MA,0,30,0.0
Toys,AY8NAG7ARNGMR:2:B005T3R9FM,0 14527 5612,35,0.0
Toys,AYFNBZRZR4E6P:2:8499000606,0,30,0.0
Toys,AYLAZUCGWB6IE:8:B001W30D2O,0 11109,27,0.0
Toys,AYRG78R5UMBZX:2:B004C03O2A,0 2100,31,5.960464477539063e-08
Toys,AZKGCE3LNX7WB:2:B0040GK7I0,0 3127 2738,40,0.0
