arm,sample_key,target_group,graph_covered,baseline_rank,candidate_rank,baseline_Recall@5,baseline_NDCG@5,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,baseline_MRR,candidate_Recall@5,candidate_NDCG@5,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,candidate_MRR,target_in_baseline_beam50,target_in_candidate_beam50,new_hit_at10_outside_A_beam,changed,broad_harm
A,AJ2FDNZ3COBFN:1:B0002HR3L0,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AJ2FDNZ3COBFN:8:B008CNPIAE,head,1,19,19,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1,1,0,0,0
A,AJLPS4A9HGOQK:23:B002CSRZKQ,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0
A,AJLPS4A9HGOQK:9:B001ELK4K0,tail,1,4,4,1.0,0.43067655807339306,1.0,0.43067655807339306,1.0,0.25,1.0,0.43067655807339306,1.0,0.43067655807339306,1.0,0.25,1,1,0,0,0
A,AJVLR7M8EVNDN:1:B005PO8SX2,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AMRZ5G7HF7I03:4:B007X90B46,head,1,7,7,0.0,0.0,1.0,0.3333333333333333,1.0,0.14285714285714285,0.0,0.0,1.0,0.3333333333333333,1.0,0.14285714285714285,1,1,0,0,0
A,AN2SCJ9PDVBIK:17:B008POZKJO,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0
A,AN2SCJ9PDVBIK:28:B00FO0QDIY,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AN2SCJ9PDVBIK:33:B00CEQ1HQE,tail,1,2,2,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1,1,0,0,0
A,AN2SCJ9PDVBIK:7:B0060S315C,tail,1,20,20,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,1.0,0.05,1,1,0,0,0
A,AN5FCG0M8HWQF:1:B006L7KIWG,tail,1,20,20,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,1.0,0.05,1,1,0,0,0
A,APPCJX62WKIIP:13:B00ARQW1E0,head,1,5,5,1.0,0.38685280723454163,1.0,0.38685280723454163,1.0,0.2,1.0,0.38685280723454163,1.0,0.38685280723454163,1.0,0.2,1,1,0,0,0
A,APPCJX62WKIIP:15:B00CI6J5JQ,head,1,15,15,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,1,1,0,0,0
A,APPCJX62WKIIP:16:B00ATWUE1O,head,1,38,38,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,1,1,0,0,0
A,AQPA2UQUFRZ27:2:B0094U5B0G,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0
A,ARWYGWXB243RI:4:B003AIM52A,head,1,17,17,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,1,1,0,0,0
A,AS28FDF5HME72:2:B000EEL8A8,tail,1,15,15,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,1,1,0,0,0
A,ATTEBFVDTRQF3:2:B0015FRC2I,tail,1,4,4,1.0,0.43067655807339306,1.0,0.43067655807339306,1.0,0.25,1.0,0.43067655807339306,1.0,0.43067655807339306,1.0,0.25,1,1,0,0,0
A,AUOHOKWCO975I:1:B005N28TNU,head,1,19,19,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,0.0,0.0,0.0,0.0,1.0,0.05263157894736842,1,1,0,0,0
A,AWIF8AR75LL9L:3:B009JGR4JQ,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AWK41RGQVGOU8:2:B0051EZAI2,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AXD29NR7HM8VF:2:B00005MP02,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AXH4895HFVHVI:8:B0036IGZMU,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,0,0
A,AYVPBI6TRENK0:1:B003AQBBV8,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
A,AYVPBI6TRENK0:2:B004GX2MSK,tail,1,2,2,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1,1,0,0,0
A,AZFF4CX9MQ4AE:2:B00A8HOVKA,head,1,3,3,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1,1,0,0,0
B,A10YHH9ONC9I5Q:6:B0018OXZF4,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
B,A113YFEZBA50IM:7:B0042ESIUY,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
B,A116J28MIS03J5:2:B00000IWHG,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
B,A11WYHDB1YEZOX:3:B003YC9570,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
B,A127GZ51PD786F:2:B004Z7H14M,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
B,A12QYV3ARZX9TA:2:B0051U86Z0,tail,1,36,34,0.0,0.0,0.0,0.0,1.0,0.027777777777777776,0.0,0.0,0.0,0.0,1.0,0.029411764705882353,1,1,0,1,0
B,A148F4ZOSD82OW:1:B004S8F7QM,head,1,9,13,0.0,0.0,1.0,0.3010299956639812,1.0,0.1111111111111111,0.0,0.0,0.0,0.0,1.0,0.07692307692307693,1,1,0,1,1
B,A164O47CXA68XZ:2:B006O6EOTW,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
B,A16A49TPIHCKFO:4:B005J146MI,tail,1,28,29,0.0,0.0,0.0,0.0,1.0,0.03571428571428571,0.0,0.0,0.0,0.0,1.0,0.034482758620689655,1,1,0,1,0
B,A16DMD58142HZ2:2:B001PPBC92,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
B,A16KSJPKS03OQJ:4:B00008GYCZ,head,1,17,18,0.0,0.0,0.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,0.0,1.0,0.05555555555555555,1,1,0,1,0
B,A189WLP4ITO78O:8:B00264GJL2,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
