item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
B002OE01XG,17582 1228 21300 1907 27181,17582 1228 21300 1907,17,217,-20.513671875,-18.85756492614746,0.0,0.5392696155732875
B002OE05L4,740 4517 27693 3357 2768,740 4517 27693 3357,11,96,-22.367835998535156,-18.23064613342285,0.0,0.14646761894975313
B002OE2V1G,5364 7061 2383 522 11926,5364 7061 2383 522,10,40,-21.246715545654297,-16.293060302734375,0.0,-0.6308016370769689
B002OED6GU,21677 176 2480 1538 24805,21677 176 2480 1538,6,23,-26.207195281982422,-27.519432067871094,0.0,-0.6955301097774615
B002OED6I8,14295 1840 10878 7708 19511,14295 1840 10878 7708,12,67,-21.935253143310547,-29.091197967529297,0.0,-0.29432940045575506
B002OED6II,740 954 403 1898 11326,740 954 403 1898,14,20,-21.892742156982422,-24.65811538696289,0.0,-1.6344521173081503
B002OFCW5A,740 14260 21441 7775 22406,740 14260 21441 7775,12,31,-24.772192001342773,-27.0966739654541,0.0,-1.0564694525026503
B002OFLL7A,467 4142 28188 3500 9729,467 4142 28188 3500,3,38,-21.828868865966797,-21.082122802734375,0.0,0.4171669187723879
B002OFN9TS,1041 1738 23092 7097 20695,1041 1738 23092 7097,9,21,-24.210796356201172,-18.742036819458008,-1.85634183883667,-1.1639672174988611
B002OI00TM,3127 4595 2131 1003 2039,3127 4595 2131 1003,5,7,-21.810657501220703,-22.828645706176758,0.0,-1.670573425722143
B002OPRDHW,2948 7620 804 8420 10650,2948 7620 804 8420,4,34,-21.69379234313965,-19.924631118774414,0.0,0.05615357323505599
B002OQQAWA,2341 11483 13449 11848 15107,2341 11483 13449 11848,6,43,-24.042308807373047,-27.66556739807129,0.0,-0.07976959283293716
B002OSWLKI,5364 4226 2377 12210 10635,5364 4226 2377 12210,7,4,-22.378559112548828,-19.001853942871094,0.0,-2.4915539777919733
B002OSWLR6,740 5748 8498 16554 11916,740 5748 8498 16554,5,21,-22.5731143951416,-18.182292938232422,0.0,-0.6174235111307915
B002OSY2SC,1871 8719 9722 5457 4642,1871 8719 9722 5457,42,420,-20.471521377563477,-17.562166213989258,0.0,0.3112120494566488
B002OSY2T6,1871 2495 18639 31641 2275,1871 2495 18639 31641,17,58,-20.903425216674805,-13.87724494934082,0.0,-0.7739024807176413
B002OUA1L2,17582 1464 3383 1339 9212,17582 1464 3383 1339,5,5,-22.05740737915039,-18.750572204589844,0.0,-1.9807283540259828
B002P30IYS,11109 5449 11667 1040 16228,11109 5449 11667 1040,2,4,-22.833309173583984,-21.990846633911133,0.0,-1.3929416891238642
B002P39UCY,2100 1073 346 20547 4251,2100 1073 346 20547,5,39,-20.70131492614746,-19.785465240478516,0.0,-0.009175774357331079
B002P53N3O,4183 19984 4653 2726 6015,4183 19984 4653 2726,8,21,-22.385726928710938,-20.244205474853516,0.0,-1.052741582388638
B002P584A6,467 1448 16024 1120 11018,467 1448 16024 1120,4,16,-23.375280380249023,-27.194385528564453,0.0,-0.681445369895723
B002PA0NZ0,1041 733 2452 9321 18722,1041 733 2452 9321,6,32,-20.31098175048828,-14.166688919067383,0.0,-0.3712904415918832
B002PAQLWO,2100 659 25924 11649 4189,2100 659 25924 11649,4,0,-20.769092559814453,-18.982555389404297,0.0,-4.177952931362203
