arm,sample_key,target_group,graph_covered,baseline_rank,candidate_rank,baseline_Recall@5,baseline_NDCG@5,baseline_Recall@10,baseline_NDCG@10,baseline_Recall@50,baseline_MRR,candidate_Recall@5,candidate_NDCG@5,candidate_Recall@10,candidate_NDCG@10,candidate_Recall@50,candidate_MRR,target_in_baseline_beam50,target_in_candidate_beam50,new_hit_at10_outside_A_beam,changed,broad_harm
C,A3H62VYLEK8X1V:6:B00021DDR4,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3HIDCZOYWOYW9:7:B00871KNHO,head,1,32,38,0.0,0.0,0.0,0.0,1.0,0.03125,0.0,0.0,0.0,0.0,1.0,0.02631578947368421,1,1,0,1,0
C,A3ID661BSD9PGZ:5:B002PBCABY,head,1,29,31,0.0,0.0,0.0,0.0,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,1.0,0.03225806451612903,1,1,0,1,0
C,A3JS331R4TEBB8:10:B002T5OM1M,tail,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1,1,0,1,0
C,A3KUPKI0NR77S2:5:B004UVRYQS,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3LHIRT4SR3F9T:8:B000GCKCDW,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3LMILRM9OC3SA:13:B002ZNJU7Y,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3LMILRM9OC3SA:8:B003OBE530,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
C,A3LXS88UEQZKCP:5:B002JL1Y6C,head,1,8,8,0.0,0.0,1.0,0.31546487678572877,1.0,0.125,0.0,0.0,1.0,0.31546487678572877,1.0,0.125,1,1,0,1,0
C,A3M7R4PD0FEPUB:10:B009YSYNIY,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3MNHS1HHTAP7O:21:B00BAZ7Y6M,tail,1,14,15,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,1,1,0,1,0
C,A3MNHS1HHTAP7O:22:B00KHGIK54,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
C,A3MNHS1HHTAP7O:28:B00IALDHDI,tail,1,20,21,0.0,0.0,0.0,0.0,1.0,0.05,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,1,1,0,1,0
C,A3N5Z9AKY4QR3V:2:B009YSTOE2,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
C,A3N6JG64P2G9EV:8:B005CQM6RC,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3O5PCUAXYP2DQ:4:B00164FVH6,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3P84TZX9X1B3X:3:B001E96L9K,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3PI8OSXZ82Y6X:1:B00CBK017Y,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
C,A3PI8OSXZ82Y6X:4:B007D1VGSY,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
C,A3Q1J68QY1MZQ9:11:B00G7U29KQ,head,1,16,12,0.0,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,1,1,0,1,0
C,A3QNJZ3BICKW2O:3:B0050NWCQ2,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3S3KFARXX1MKW:1:B00008J2XQ,head,1,21,9,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,0.0,0.0,1.0,0.3010299956639812,1.0,0.1111111111111111,1,1,0,1,0
C,A3S5NM7I4LMHZ9:1:B005I0JWU6,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3SE4NU7AGO47Q:6:B0012K1R3G,head,1,9,9,0.0,0.0,1.0,0.3010299956639812,1.0,0.1111111111111111,0.0,0.0,1.0,0.3010299956639812,1.0,0.1111111111111111,1,1,0,1,0
C,A3SSVI14J5S3UJ:4:B000WBO3W8,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3T65F1NI9FVLC:4:B0045WBFAI,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3T7MN2WPZ3M1O:3:B00264NW7G,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A3TBTDQOTYXQ6W:1:B000ZMBSPE,head,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1,1,0,1,0
C,A3TT3OIPXK7Q7X:2:B002TPQPEE,head,1,5,6,1.0,0.38685280723454163,1.0,0.38685280723454163,1.0,0.2,0.0,0.0,1.0,0.3562071871080222,1.0,0.16666666666666666,1,1,0,1,0
C,A3UL9L5O3EQ4ML:2:B0013ND45G,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
C,A3VTMZYLG38AJU:1:B0000531WZ,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A4EWK1BCKU4OC:5:B005MZ4A7C,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A6B5LMF6CWT27:1:B001Q8560Y,head,1,30,32,0.0,0.0,0.0,0.0,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,1.0,0.03125,1,1,0,1,0
C,A6VPK7X53QNAQ:16:B00FXXTEVA,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A7RH73YPZU94Z:2:B003B6S36S,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A7RH73YPZU94Z:3:B004JRU4YW,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,A81XIM8XFKWX5:3:B003V21WO2,head,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
C,AB0Y33G717HOU:3:B0073P01RC,head,1,3,2,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1,1,0,1,0
C,ABILF9646A13T:1:B00005NAOD,head,1,22,37,0.0,0.0,0.0,0.0,1.0,0.045454545454545456,0.0,0.0,0.0,0.0,1.0,0.02702702702702703,1,1,0,1,0
C,ABOTQXNUBA1MM:10:B00FF5B31U,head,1,42,32,0.0,0.0,0.0,0.0,1.0,0.023809523809523808,0.0,0.0,0.0,0.0,1.0,0.03125,1,1,0,1,0
C,ABOTQXNUBA1MM:9:B003JTF3VK,head,1,12,9,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0,0.0,1.0,0.3010299956639812,1.0,0.1111111111111111,1,1,0,1,0
C,ACQ3M8CEMHRRI:1:B0000531SW,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,ACYMT1PL5FO9C:10:B00ATY942M,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,ADE5RB84FF9JP:1:B0043TURKC,head,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,ADLKEYA320P5G:1:B000629ZHG,head,1,3,2,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.6309297535714575,1.0,0.5,1,1,0,1,0
C,ADW9M86DQAPXT:2:B001SXPSD2,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
C,AE24ZJRHI2DU8:6:B003UI4WZS,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
C,AEM73438F7E2Z:2:B000KBHG88,tail,1,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
C,AEV1APSPG9DDQ:1:B006QFCDDK,tail,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,0
