dataset,sample_key,prefix,legal_children,teacher_mass_error
Beauty,A3CRGYJBSII8WZ:5:B00BRXTM7Q,0 6453,49,0.0
Beauty,A3EBX7GDQVG04V:4:B002A0W3PI,0 17236,105,0.0
Beauty,A3F9UOWJ4NXRIE:2:B0009V1YS2,0 887 2132,2,0.0
Beauty,A3GG5YFXOPRMQO:1:B001SZO890,0 2565,83,0.0
Beauty,A3H595L3LDBKWX:4:B003NS2HWU,0 11477 6031 14260 4550,2,0.0
Beauty,A3HYFK0FCU03O7:4:B0088D9R5K,0 13467,75,5.960464477539063e-08
Beauty,A3I6AXJF4H1ZC8:3:B004FS6X9U,0 2565 1536 6711,2,0.0
Beauty,A3LWK86I8UV25C:7:B00CG2X0F2,0 18311 4855 16826,4,0.0
Beauty,A3M6JZ5HQYUEK1:1:B000P20JWW,0 260,78,1.1920928955078125e-07
Beauty,A3MPZJ19V4E34H:4:B002JNV8JI,0 21935 7321 649 2165 739 1407 20282,2,0.0
Beauty,A3NA3M6ZNS6LLZ:1:B003ITMPI0,0 3361,69,0.0
Beauty,A3O1EBM7V7MYM:8:B00AMDRB9S,0,108,0.0
Beauty,A3OBI9T5SQ4GFR:3:B003RSSBXK,0,108,0.0
Beauty,A3OHMGD1YUVNSR:4:B001KFDHZE,0,108,1.1920928955078125e-07
Beauty,A3OLHVWUM98SVA:3:B005C2N8IC,0 8552,98,0.0
Beauty,A3OOIWLW0Y01C2:1:B001H9404A,0,108,0.0
Beauty,A3P8WZ8E14G8SZ:4:B0032K5LI6,0,108,0.0
Beauty,A3PCY3GWYEN50B:1:B0013OJUWQ,0 18311 181,3,0.0
Beauty,A3Q9HY0LU7MN6E:3:B001ECQ4OY,0 23159 19834,3,0.0
Beauty,A3S3R88HA0HZG3:22:B00778LPAW,0,108,0.0
Beauty,A3SN8H1V126IIY:2:B00CNE2GOO,0,108,0.0
Beauty,A3SVG6JU74U10J:11:B004BCVEAS,0,108,5.960464477539063e-08
Beauty,A3U16LITWT2PQJ:1:B000JL5V0E,0 7334 9319,6,0.0
Beauty,A3U6J0DLLDEWM2:4:B00GTC1JHQ,0,108,0.0
Beauty,A3UENST7HB89M5:1:B001CTXRNU,0,108,0.0
Beauty,A3VI2VETB90ZG5:10:B00A0IWTDI,0 25597,96,1.1920928955078125e-07
Beauty,A4N2MORJWLSCP:3:B008148R8E,0 25597,96,5.960464477539063e-08
Beauty,A4P9WK7Y65O58:12:B003FV82VA,0 7334,29,5.960464477539063e-08
Beauty,A55QPRK60CF9S:11:B003J2PJFW,0 22188,42,0.0
Beauty,A5A9N3HZT14KD:5:B007O7AZBG,0 21935,94,5.960464477539063e-08
Beauty,A5GPB33JX0X7D:2:B002WTC38E,0 20725 450,15,0.0
Beauty,A5OBIE3AR5O92:2:B005D7F4VU,0,108,0.0
Beauty,A5QMIPVDSB8VO:8:B001DOA73C,0,108,0.0
Beauty,A5Z18A206FONJ:3:B003HLTTJM,0 3690,4,0.0
Beauty,A78537UQRSMF4:4:B004ZMTK1Y,0 21628 825 1898,2,0.0
Beauty,A7T2VY28U2IDB:26:B000HEIRRM,0,108,0.0
Beauty,A8S26HG41THMA:1:B005C1C02S,0 768 3009,4,0.0
Beauty,A8TZ738BKDZ13:6:B005DKJRTC,0,108,0.0
Beauty,A9EXVMFPDLFHL:3:B005XP4YNQ,0 19831 31272,2,0.0
