user_id	fold	history_group	target_popularity	target_source	baseline_rank	oof_rank	hit10_transition	oof_top10_new_gram_only	oof_top10_new_both	oof_top10_new_cf_only
A1J9T48L93OAKW	2	6-10	middle	both	44	37	stable_miss	0	1	0
A3PO7P9MHI3WY2	2	1-5	middle	union_miss	51	91	stable_miss	2	1	1
A27ZN3BUDWKXE2	2	11-20	head	union_miss	51	91	stable_miss	0	1	1
A3K8LJJGKU4U96	3	1-5	tail	union_miss	51	91	stable_miss	0	1	1
A2K7PLMI4ZMS1P	1	6-10	middle	union_miss	51	91	stable_miss	0	1	1
AD6EATMKP0ORK	4	1-5	middle	union_miss	51	91	stable_miss	0	1	1
A339W04V45GZJX	1	1-5	middle	union_miss	51	91	stable_miss	0	0	1
A1A1BM6N28X9J0	0	1-5	middle	cf_only	51	72	stable_miss	0	2	0
A2Q9KLA3E0RYNI	2	1-5	middle	gram_only	48	60	stable_miss	0	2	0
A27THSAM78N47Z	0	1-5	head	union_miss	51	91	stable_miss	0	0	1
A2FPEXSFPA8008	3	6-10	head	gram_only	32	44	stable_miss	0	2	0
A2JBZOWHL6V8YK	1	1-5	middle	union_miss	51	91	stable_miss	1	0	0
AW7BIYHXUIZ62	0	11-20	head	union_miss	51	91	stable_miss	0	1	0
AWRPSNNIOF8A0	1	1-5	head	both	25	25	stable_miss	0	1	0
A1Y8950MYIDY2M	0	6-10	middle	union_miss	51	91	stable_miss	0	3	0
A2CF66KIQ3RKX3	4	6-10	middle	union_miss	51	91	stable_miss	0	2	1
A1BX61VKRENX4B	1	1-5	middle	union_miss	51	91	stable_miss	0	1	0
AI0KS6TKN9599	4	1-5	tail	union_miss	51	91	stable_miss	0	1	1
A2LLWR95JTWX4F	2	1-5	middle	union_miss	51	91	stable_miss	1	0	2
A3W509BVIX757V	3	11-20	middle	union_miss	51	91	stable_miss	0	1	0
A2W8LRISM2O14L	0	1-5	middle	union_miss	51	91	stable_miss	1	1	0
A2HP9H1XJJPTWX	0	1-5	middle	union_miss	51	91	stable_miss	0	0	1
A3F2J5H0IEA7B7	1	1-5	middle	gram_only	2	2	stable_hit	0	1	1
A2999BR1K8MKCP	1	1-5	tail	union_miss	51	91	stable_miss	0	1	0
A44A3MTDGBAEH	1	1-5	middle	both	4	5	stable_hit	0	1	0
A50IIB4PMPLNQ	2	1-5	middle	union_miss	51	91	stable_miss	1	1	0
A1Q9BDNMSQCXZH	0	1-5	middle	gram_only	37	53	stable_miss	0	1	0
AJTP8CML78HST	0	1-5	head	gram_only	24	25	stable_miss	0	2	0
A26FX2091HJNIE	0	1-5	middle	gram_only	13	22	stable_miss	0	1	1
A1IQ68HCRAHUJ5	1	1-5	tail	union_miss	51	91	stable_miss	1	2	2
A3RZ3YCOPB9N6K	0	1-5	head	cf_only	51	39	stable_miss	0	2	0
AVNUON4RBG2XF	1	1-5	head	union_miss	51	91	stable_miss	0	1	0
A1B5Z5OG2NPFDT	3	6-10	middle	union_miss	51	91	stable_miss	0	3	0
A398R165PXFOSS	2	11-20	middle	union_miss	51	91	stable_miss	0	1	0
AI8XVVYFDL2CA	3	6-10	tail	union_miss	51	91	stable_miss	0	0	0
AL7QH8SRS8HKI	1	1-5	head	union_miss	51	91	stable_miss	0	2	0
A2BDRGW9JGPAIO	4	1-5	middle	union_miss	51	91	stable_miss	0	1	0
A3PRCVKDVNDONH	2	1-5	head	union_miss	51	91	stable_miss	0	1	1
A2WTF3ZI1MUMBF	1	1-5	middle	union_miss	51	91	stable_miss	0	0	0
A3KUPS6F5MTN16	0	1-5	head	both	6	6	stable_hit	0	1	0
A2TJQUPTZOD7QE	1	1-5	middle	both	7	6	stable_hit	0	0	0
A1QP3LJUQ4D4B6	0	6-10	middle	gram_only	9	12	loss	0	3	0
ATUVTFJ5N0NDA	4	1-5	middle	union_miss	51	91	stable_miss	0	1	0
ASSYXG9EYEWWX	0	1-5	tail	union_miss	51	91	stable_miss	0	1	0
