dataset,user,split,sample_hash,depth,child_count,history_length,donor_overlap_max,lp_clean,lp_corrupt,lp_no_cf,cf_utility,cf_margin,helpful,sensitivity_deficit,visible_length_identity,metadata_start_identity
Toys,A2WT9FBIC8G2UR,fit,008d86ba143f07a11dae37ea65c64d7615134398eaaa00b05b7b67004a9c2f50,3,32,7,0.0,-0.4964684844017029,-0.6221436262130737,-0.38820546865463257,-0.10826301574707031,0.12567514181137085,False,False,True,True
Toys,A2WT9FBIC8G2UR,fit,008d86ba143f07a11dae37ea65c64d7615134398eaaa00b05b7b67004a9c2f50,4,6,7,0.0,-0.00017617580306250602,-0.019927654415369034,-0.004031151533126831,0.003854975730064325,0.019751478612306528,True,True,True,True
Toys,AZHOPYR1YH3TS,fit,008dc7736a6ede8a99359bd90499e05cd4bcb36ab49797a2feb8531f869242f8,0,30,2,0.0,-4.453192234039307,-3.762003183364868,-4.585744857788086,0.1325526237487793,-0.6911890506744385,True,True,True,True
Toys,AZHOPYR1YH3TS,fit,008dc7736a6ede8a99359bd90499e05cd4bcb36ab49797a2feb8531f869242f8,1,27,2,0.0,-0.3624902665615082,-0.8070072531700134,-0.6262822151184082,0.2637919485569,0.44451698660850525,True,False,True,True
Toys,AZHOPYR1YH3TS,fit,008dc7736a6ede8a99359bd90499e05cd4bcb36ab49797a2feb8531f869242f8,2,49,2,0.0,-0.9570348262786865,-2.2042407989501953,-2.3707032203674316,1.4136683940887451,1.2472059726715088,True,False,True,True
Toys,AZHOPYR1YH3TS,fit,008dc7736a6ede8a99359bd90499e05cd4bcb36ab49797a2feb8531f869242f8,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,True
Toys,AZHOPYR1YH3TS,fit,008dc7736a6ede8a99359bd90499e05cd4bcb36ab49797a2feb8531f869242f8,4,2,2,0.0,-0.3587380647659302,-0.9968690872192383,-0.538574755191803,0.1798366904258728,0.6381310224533081,True,False,True,True
Toys,A2ODQT7REAFA77,fit,00916b2c7eaf3454e0db7ea35bf714992260e1e326d6251f874746cbdb539464,0,30,4,0.1111111111111111,-2.813302516937256,-2.78737735748291,-3.062837839126587,0.24953532218933105,-0.025925159454345703,True,True,True,True
Toys,A2ODQT7REAFA77,fit,00916b2c7eaf3454e0db7ea35bf714992260e1e326d6251f874746cbdb539464,1,25,4,0.1111111111111111,-0.3418637216091156,-3.4230411052703857,-3.3165884017944336,2.974724680185318,3.08117738366127,True,False,True,True
Toys,A2ODQT7REAFA77,fit,00916b2c7eaf3454e0db7ea35bf714992260e1e326d6251f874746cbdb539464,2,8,4,0.1111111111111111,-0.009852234274148941,-0.46508145332336426,-0.5343964099884033,0.5245441757142544,0.4552292190492153,True,False,True,True
