item,path,parent,train_freq,beam_count,lp0,lp_last,lp_last_parent_centered,exposure_amplification
B0036LJ0HO,10758 24040 22637 7942 13033 12137 2785 536,10758 24040 22637 7942 13033 12137 2785,6,78,-18.683570861816406,-14.294990539550781,-0.12631511688232422,0.5405579044320596
B0036LMFYO,10758 23604 5902 6803 255 4194 3053,10758 23604 5902 6803 255 4194,38,243,-18.937658309936523,-17.43010902404785,0.0,-0.10627984222580622
B0036OJEFO,6453 6397 25723 18118 28050 3005 23903,6453 6397 25723 18118 28050 3005,6,20,-24.109216690063477,-27.126039505004883,0.0,-0.8021158342119392
B0036Q4RZE,24055 16489 29406 13677 2304 1795 25535,24055 16489 29406 13677 2304 1795,10,18,-23.872142791748047,-27.17180061340332,0.0,-1.3843430685339104
B0036Q7ZYY,16087 2210 11797 15637 2960 21935 2918,16087 2210 11797 15637 2960 21935,10,18,-23.072843551635742,-16.29810905456543,0.0,-1.3843430685339104
B0036QFEA6,18322 18056 10920 1975 509 6311 2433,18322 18056 10920 1975 509 6311,3,30,-19.79364013671875,-13.78432846069336,0.0,0.21422517166328703
B0036QFZ46,643 25164 20816 6677 2836 15215 2899,643 25164 20816 6677 2836 15215,14,86,-21.465810775756836,-14.553836822509766,0.0,-0.16474277894340617
B0036QQWAC,18311 1863 5733 3243 19253 18054 18706,18311 1863 5733 3243 19253 18054,36,1407,-23.442798614501953,-24.008174896240234,0.0,1.7015195559706884
B0036QTJDO,2565 9782 3157 3728 1584 1495 3596,2565 9782 3157 3728 1584 1495,6,18,-20.058818817138672,-17.89258575439453,0.0,-0.9047699882720242
B0036QYAAQ,21935 6963 25723 24220 2754 3860 1215,21935 6963 25723 24220 2754 3860,4,34,-23.706729888916016,-20.087223052978516,0.0,0.0861433838063288
B0036RFMCA,17236 530 10802 16948 580 27950 19095,17236 530 10802 16948 580 27950,5,5,-20.624469757080078,-20.016042709350586,0.0,-1.9507385434547118
B0036UMM0M,15405 4505 23001 15688 10447 3681 25828,15405 4505 23001 15688 10447 3681,6,12,-22.481660842895508,-11.32322883605957,0.0,-1.296812076048047
B0036UW5VS,15405 20395 16395 9385 1516 12868 835,15405 20395 16395 9385 1516 12868,8,24,-24.15189552307129,-15.46043872833252,0.0,-0.8921315894003001
B0036UXD4Q,15405 23001 10447 2662 26383 221 2128,15405 23001 10447 2662 26383 221,6,13,-21.54939079284668,-15.14384651184082,0.0,-1.219851034911919
B0036WJ456,18311 26570 929 27220 14364 4261 1752,18311 26570 929 27220 14364 4261,10,17,-19.997661590576172,-19.88229751586914,0.0,-1.4399129196887195
B0036WTTBK,2036 615 14038 12771 22772 19275 2910,2036 615 14038 12771 22772 19275,4,0,-22.512451171875,-18.59403419494629,0.0,-4.147963120790932
B0036Z0HL8,25597 27107 5605 6965 2576 19660 20016,25597 27107 5605 6965 2576 19660,4,0,-24.50175666809082,-20.56944465637207,0.0,-4.147963120790932
B0036Z469M,15405 5722 29327 23001 1134 10447 7650,15405 5722 29327 23001 1134 10447,4,14,-21.78635025024414,-18.298301696777344,0.0,-0.7806672908044572
B003708ZBQ,1453 8887 3005 25317 10503 4260 1115,1453 8887 3005 25317 10503 4260,4,34,-23.203161239624023,-16.491914749145508,0.0,0.0861433838063288
B003709CUE,1453 8887 3005 10503 8916 2329 4771,1453 8887 3005 10503 8916 2329,5,0,-23.04620933532715,-20.300771713256836,0.0,-4.348633816253082
B00371PJ1E,15496 29090 19116 10758 20363 13274 4161,15496 29090 19116 10758 20363 13274,9,3,-20.343997955322266,-18.706144332885742,0.0,-2.9492673735658386
B00373DIYM,21628 21509 17224 7590 3473 6654 843,21628 21509 17224 7590 3473 6654,27,485,-23.092294692993164,-23.002952575683594,0.0,0.9202547396041432
B00373FE76,14853 11508 27215 14039 27721 31211 21870,14853 11508 27215 14039 27721 31211,47,1068,-22.490358352661133,-15.65107536315918,0.0,1.1625428202638943
B00373FPG6,27323 9805 25987 24274 21281 16169 4963,27323 9805 25987 24274 21281 16169,16,55,-25.27309799194336,-21.275493621826172,0.0,-0.7377159036088567
B00373MSNE,27323 27904 24274 21281 4963 8842 9240,27323 27904 24274 21281 4963 8842,11,14,-23.63799476623535,-18.788476943969727,0.0,-1.7189369293973868
B00373OK3A,23159 23264 11051 27323 12184 4802 9272,23159 23264 11051 27323 12184 4802,10,9,-25.25861930847168,-18.689910888671875,0.0,-2.050822002011694
B00374LSVQ,1076 3151 11776 579 18596 943 5974,1076 3151 11776 579 18596 943,3,20,-23.868101119995117,-29.522357940673828,0.0,-0.18307662580571638
B00375L8JC,1268 7326 3233 22772 2304 15886 7193,1268 7326 3233 22772 2304 15886,8,15,-20.6531925201416,-23.787139892578125,0.0,-1.3499646830257799
B00375L8SI,3022 2641 15064 13287 1781 3138 7223,3022 2641 15064 13287 1781 3138,4,3,-23.151824951171875,-23.926345825195312,0.0,-2.2020529717356183
B003765306,3361 5304 11719 5163 3471 19858 18189,3361 5304 11719 5163 3471 19858,5,17,-23.267126083374023,-17.16707992553711,0.6193304061889648,-0.7932857547636676
B00378345U,1268 9417 1814 2824 1977 6634 4725,1268 9417 1814 2824 1977 6634,4,20,-21.43459701538086,-16.288415908813477,0.0,-0.43439105408662293
B0037AO682,25597 1082 670 5958 18325 7137 9388,25597 1082 670 5958 18325 7137,9,63,-20.66099739074707,-13.760189056396484,0.0,-0.050990436162560826
B0037BOLVS,18311 1863 26887 3243 19234 5733 6833,18311 1863 26887 3243 19234 5733,5,40,-20.82550048828125,-22.835311889648438,0.0,0.04581533841935581
B0037BQKTO,18311 1863 6833 19478 5155 9608 20895,18311 1863 6833 19478 5155 9608,6,38,-21.957294464111328,-25.037845611572266,0.0,-0.17188247906256393
B0037CHCQS,14143 13470 15176 6235 6191 11270 21938,14143 13470 15176 6235 6191 11270,5,4,-21.053354263305664,-17.19772720336914,0.0,-2.1514092389168624
B0037FO44I,26190 407 524 30141 924 207 17852,26190 407 524 30141 924 207,6,16,-21.293684005737305,-20.423179626464844,0.0,-1.0191803394497683
B0037LEKDW,18311 26570 929 6885 6737 13462 15314,18311 26570 929 6885 6737 13462,5,9,-20.43886947631836,-22.74757957458496,0.0,-1.4041948370866422
B0037LG6UW,26570 929 16087 2773 3891 2577 2908,26570 929 16087 2773 3891 2577,6,30,-20.903596878051758,-26.066755294799805,0.0,-0.4048140367429358
B0037LG7L0,17236 162 12740 6910 24151 25196 24971,17236 162 12740 6910 24151 25196,5,6,-22.257051467895508,-21.683609008789062,0.0,-1.7836844587915461
B0037LKIAG,18311 26570 929 10064 10208 20489 14364,18311 26570 929 10064 10208 20489,18,132,-22.187376022338867,-26.468191146850586,0.0,0.01807336988728636
B0037LMS0Y,15254 2844 17396 4522 7446 969 7411 536,15254 2844 17396 4522 7446 969 7411,9,81,-22.08525276184082,-20.92213249206543,-0.21167564392089844,0.1985726781856112
B0037LMURA,162 27825 17430 1207 103 13297 255,162 27825 17430 1207 103 13297,6,22,-22.619129180908203,-7.75313138961792,0.0,-0.7090254111459284
B0037M92OI,6453 22204 7458 19513 5109 21806 15437,6453 22204 7458 19513 5109 21806,5,5,-25.485111236572266,-18.891395568847656,0.0,-1.9507385434547118
B0037MDBMC,6453 9339 15121 11499 13107 957 6310,6453 9339 15121 11499 13107 957,3,0,-22.680593490600586,-23.335445404052734,0.0,-3.896648692510025
B0037MFCHE,15629 18227 18365 2174 5582 2256 975,15629 18227 18365 2174 5582 2256,4,3,-21.756389617919922,-12.326501846313477,0.0,-2.2020529717356183
B0037MGE4Y,3575 1953 18310 15721 9866 6142 15600,3575 1953 18310 15721 9866 6142,7,35,-20.89200210571289,-24.920360565185547,0.0,-0.3961088675156059
B0037MH6L4,747 28322 15136 25079 2377 941 4816,747 28322 15136 25079 2377 941,10,53,-23.078369140625,-23.189085006713867,0.0,-0.32243214671622766
B0037MIMLW,11477 3693 1225 123 1582 727 15220,11477 3693 1225 123 1582 727,3,0,-20.91956901550293,-21.69318199157715,0.0,-3.896648692510025
